
#################################################################
# Summary Statistics
#################################################################

DIC = 39.52447

                    Mean    SD  2.5%    5%   25%   50%   75%    95%  97.5%
Epsilon.1          4.382 2.372 1.212 1.499 2.727 3.902 5.524  8.752 10.559
phy.group.SD       4.705 4.850 0.304 0.427 1.134 2.655 6.695 15.925 17.929
p.global.Plants    0.317 0.244 0.019 0.037 0.128 0.239 0.469  0.822  0.901
p.global.POM       0.683 0.244 0.099 0.178 0.531 0.761 0.872  0.963  0.981
p.>350um.Plants    0.045 0.053 0.000 0.000 0.001 0.024 0.075  0.151  0.173
p.cladocera.Plants 0.085 0.068 0.000 0.000 0.015 0.083 0.137  0.200  0.220
p.copepoda.Plants  0.272 0.085 0.050 0.112 0.229 0.279 0.326  0.392  0.414
p.>350um.POM       0.955 0.053 0.827 0.849 0.925 0.976 0.999  1.000  1.000
p.cladocera.POM    0.915 0.068 0.780 0.800 0.863 0.917 0.985  1.000  1.000
p.copepoda.POM     0.728 0.085 0.586 0.608 0.674 0.721 0.771  0.888  0.950
