
#################################################################
# Summary Statistics
#################################################################

                                Mean    SD  2.5%    5%   25%   50%   75%   95% 97.5%
p.Autochthonous.SNL-ZOOP-GFF48 0.934 0.053 0.796 0.828 0.906 0.947 0.974 0.992 0.995
p.Allochthonous.SNL-ZOOP-GFF48 0.066 0.053 0.005 0.008 0.026 0.053 0.094 0.172 0.204
p.Autochthonous.SNL-ZOOP-GFF49 0.938 0.053 0.805 0.831 0.913 0.954 0.979 0.994 0.996
p.Allochthonous.SNL-ZOOP-GFF49 0.062 0.053 0.004 0.006 0.021 0.046 0.087 0.169 0.195
p.Autochthonous.SNL-ZOOP-GFF53 0.939 0.052 0.808 0.838 0.914 0.954 0.978 0.994 0.996
p.Allochthonous.SNL-ZOOP-GFF53 0.061 0.052 0.004 0.006 0.022 0.046 0.086 0.162 0.192
p.Autochthonous.SNL-ZOOP-GFF65 0.944 0.048 0.822 0.847 0.922 0.959 0.980 0.994 0.996
p.Allochthonous.SNL-ZOOP-GFF65 0.056 0.048 0.004 0.006 0.020 0.041 0.078 0.153 0.178
p.Autochthonous.SNL-ZOOP-GFF66 0.919 0.065 0.760 0.792 0.883 0.936 0.971 0.992 0.995
p.Allochthonous.SNL-ZOOP-GFF66 0.081 0.065 0.005 0.008 0.029 0.064 0.117 0.208 0.240
p.Autochthonous.SNL-ZOOP-GFF67 0.912 0.069 0.741 0.775 0.873 0.928 0.966 0.990 0.993
p.Allochthonous.SNL-ZOOP-GFF67 0.088 0.069 0.007 0.010 0.034 0.072 0.127 0.225 0.259
p.Autochthonous.SNL-ZOOP-GFF69 0.955 0.040 0.850 0.873 0.938 0.967 0.984 0.995 0.997
p.Allochthonous.SNL-ZOOP-GFF69 0.045 0.040 0.003 0.005 0.016 0.033 0.062 0.127 0.150
p.Autochthonous.SNL-ZOOP-GFF70 0.923 0.065 0.761 0.794 0.888 0.942 0.974 0.993 0.995
p.Allochthonous.SNL-ZOOP-GFF70 0.077 0.065 0.005 0.007 0.026 0.058 0.112 0.206 0.239

#################################################################
# Summary Statistics
#################################################################

                                Mean    SD  2.5%    5%   25%   50%   75%   95% 97.5%
p.Autochthonous.SNL-ZOOP-01A   0.908 0.034 0.837 0.849 0.886 0.911 0.932 0.960 0.969
p.Allochthonous.SNL-ZOOP-01A   0.092 0.034 0.031 0.040 0.068 0.089 0.114 0.151 0.163
p.Autochthonous.SNL-ZOOP-02A   0.947 0.045 0.826 0.854 0.927 0.960 0.981 0.994 0.996
p.Allochthonous.SNL-ZOOP-02A   0.053 0.045 0.004 0.006 0.019 0.040 0.073 0.146 0.174
p.Autochthonous.SNL-ZOOP-03A   0.929 0.059 0.777 0.809 0.897 0.947 0.976 0.993 0.996
p.Allochthonous.SNL-ZOOP-03A   0.071 0.059 0.004 0.007 0.024 0.053 0.103 0.191 0.223
p.Autochthonous.SNL-ZOOP-04A   0.938 0.055 0.791 0.825 0.913 0.954 0.979 0.994 0.996
p.Allochthonous.SNL-ZOOP-04A   0.062 0.055 0.004 0.006 0.021 0.046 0.087 0.175 0.209
p.Autochthonous.SNL-ZOOP-05A   0.920 0.069 0.743 0.781 0.884 0.941 0.973 0.993 0.996
p.Allochthonous.SNL-ZOOP-05A   0.080 0.069 0.004 0.007 0.027 0.059 0.116 0.219 0.257
p.Autochthonous.SNL-ZOOP-06A   0.689 0.172 0.403 0.438 0.554 0.663 0.829 0.979 0.990
p.Allochthonous.SNL-ZOOP-06A   0.311 0.172 0.010 0.021 0.171 0.337 0.446 0.562 0.597
p.Autochthonous.SNL-ZOOP-07A   0.781 0.136 0.532 0.561 0.676 0.777 0.902 0.983 0.990
p.Allochthonous.SNL-ZOOP-07A   0.219 0.136 0.010 0.017 0.098 0.223 0.324 0.439 0.468
p.Autochthonous.SNL-ZOOP-08A   0.752 0.138 0.500 0.536 0.644 0.744 0.863 0.978 0.989
p.Allochthonous.SNL-ZOOP-08A   0.248 0.138 0.011 0.022 0.137 0.256 0.356 0.464 0.500
p.Autochthonous.SNL-ZOOP-09A   0.731 0.136 0.496 0.529 0.628 0.718 0.833 0.971 0.987
p.Allochthonous.SNL-ZOOP-09A   0.269 0.136 0.013 0.029 0.167 0.282 0.372 0.471 0.504
p.Autochthonous.SNL-ZOOP-10A   0.930 0.056 0.788 0.816 0.902 0.944 0.974 0.993 0.995
p.Allochthonous.SNL-ZOOP-10A   0.070 0.056 0.005 0.007 0.026 0.056 0.098 0.184 0.212
p.Autochthonous.SNL-ZOOP-11A   0.785 0.124 0.541 0.581 0.695 0.782 0.884 0.980 0.989
p.Allochthonous.SNL-ZOOP-11A   0.215 0.124 0.011 0.020 0.116 0.218 0.305 0.419 0.459
p.Autochthonous.SNL-ZOOP-13A   0.718 0.146 0.462 0.501 0.612 0.699 0.827 0.972 0.985
p.Allochthonous.SNL-ZOOP-13A   0.282 0.146 0.015 0.028 0.173 0.301 0.388 0.499 0.538
p.Autochthonous.SNL-ZOOP-14A   0.887 0.086 0.694 0.718 0.833 0.906 0.959 0.990 0.993
p.Allochthonous.SNL-ZOOP-14A   0.113 0.086 0.007 0.010 0.041 0.094 0.167 0.282 0.306
p.Autochthonous.SNL-ZOOP-15A   0.701 0.143 0.456 0.492 0.596 0.684 0.798 0.967 0.987
p.Allochthonous.SNL-ZOOP-15A   0.299 0.143 0.013 0.033 0.202 0.316 0.404 0.508 0.544
p.Autochthonous.SNL-ZOOP-16A   0.901 0.077 0.718 0.750 0.857 0.918 0.964 0.992 0.995
p.Allochthonous.SNL-ZOOP-16A   0.099 0.077 0.005 0.008 0.036 0.082 0.143 0.250 0.282
p.Autochthonous.SNL-ZOOP-17A   0.763 0.134 0.519 0.550 0.659 0.755 0.874 0.978 0.987
p.Allochthonous.SNL-ZOOP-17A   0.237 0.134 0.013 0.022 0.126 0.245 0.341 0.450 0.481
p.Autochthonous.SNL-ZOOP-18A   0.706 0.138 0.473 0.506 0.603 0.689 0.800 0.963 0.982
p.Allochthonous.SNL-ZOOP-18A   0.294 0.138 0.018 0.037 0.200 0.311 0.397 0.494 0.527
p.Autochthonous.SNL-ZOOP-19A   0.801 0.121 0.564 0.596 0.713 0.804 0.901 0.981 0.988
p.Allochthonous.SNL-ZOOP-19A   0.199 0.121 0.012 0.019 0.099 0.196 0.287 0.404 0.436
p.Autochthonous.SNL-ZOOP-20A   0.824 0.113 0.593 0.628 0.741 0.836 0.920 0.983 0.990
p.Allochthonous.SNL-ZOOP-20A   0.176 0.113 0.010 0.017 0.080 0.164 0.259 0.372 0.407
p.Autochthonous.SNL-ZOOP-GFF47 0.944 0.048 0.816 0.847 0.921 0.958 0.980 0.994 0.996
p.Allochthonous.SNL-ZOOP-GFF47 0.056 0.048 0.004 0.006 0.020 0.042 0.079 0.153 0.184
p.Autochthonous.SNL-ZOOP-GFF48 0.934 0.053 0.796 0.828 0.906 0.947 0.974 0.992 0.995
p.Allochthonous.SNL-ZOOP-GFF48 0.066 0.053 0.005 0.008 0.026 0.053 0.094 0.172 0.204
p.Autochthonous.SNL-ZOOP-GFF49 0.938 0.053 0.805 0.831 0.913 0.954 0.979 0.994 0.996
p.Allochthonous.SNL-ZOOP-GFF49 0.062 0.053 0.004 0.006 0.021 0.046 0.087 0.169 0.195
p.Autochthonous.SNL-ZOOP-GFF53 0.939 0.052 0.808 0.838 0.914 0.954 0.978 0.994 0.996
p.Allochthonous.SNL-ZOOP-GFF53 0.061 0.052 0.004 0.006 0.022 0.046 0.086 0.162 0.192
p.Autochthonous.SNL-ZOOP-GFF65 0.944 0.048 0.822 0.847 0.922 0.959 0.980 0.994 0.996
p.Allochthonous.SNL-ZOOP-GFF65 0.056 0.048 0.004 0.006 0.020 0.041 0.078 0.153 0.178
p.Autochthonous.SNL-ZOOP-GFF66 0.919 0.065 0.760 0.792 0.883 0.936 0.971 0.992 0.995
p.Allochthonous.SNL-ZOOP-GFF66 0.081 0.065 0.005 0.008 0.029 0.064 0.117 0.208 0.240
p.Autochthonous.SNL-ZOOP-GFF67 0.912 0.069 0.741 0.775 0.873 0.928 0.966 0.990 0.993
p.Allochthonous.SNL-ZOOP-GFF67 0.088 0.069 0.007 0.010 0.034 0.072 0.127 0.225 0.259
p.Autochthonous.SNL-ZOOP-GFF69 0.955 0.040 0.850 0.873 0.938 0.967 0.984 0.995 0.997
p.Allochthonous.SNL-ZOOP-GFF69 0.045 0.040 0.003 0.005 0.016 0.033 0.062 0.127 0.150
p.Autochthonous.SNL-ZOOP-GFF70 0.923 0.065 0.761 0.794 0.888 0.942 0.974 0.993 0.995
p.Allochthonous.SNL-ZOOP-GFF70 0.077 0.065 0.005 0.007 0.026 0.058 0.112 0.206 0.239

#################################################################
# Summary Statistics
#################################################################

                                Mean    SD  2.5%    5%   25%   50%   75%   95% 97.5%
p.Autochthonous.SNL-ZOOP-01A   0.908 0.034 0.837 0.849 0.886 0.911 0.932 0.960 0.969
p.Allochthonous.SNL-ZOOP-01A   0.092 0.034 0.031 0.040 0.068 0.089 0.114 0.151 0.163
p.Autochthonous.SNL-ZOOP-02A   0.947 0.045 0.826 0.854 0.927 0.960 0.981 0.994 0.996
p.Allochthonous.SNL-ZOOP-02A   0.053 0.045 0.004 0.006 0.019 0.040 0.073 0.146 0.174
p.Autochthonous.SNL-ZOOP-03A   0.929 0.059 0.777 0.809 0.897 0.947 0.976 0.993 0.996
p.Allochthonous.SNL-ZOOP-03A   0.071 0.059 0.004 0.007 0.024 0.053 0.103 0.191 0.223
p.Autochthonous.SNL-ZOOP-04A   0.938 0.055 0.791 0.825 0.913 0.954 0.979 0.994 0.996
p.Allochthonous.SNL-ZOOP-04A   0.062 0.055 0.004 0.006 0.021 0.046 0.087 0.175 0.209
p.Autochthonous.SNL-ZOOP-05A   0.920 0.069 0.743 0.781 0.884 0.941 0.973 0.993 0.996
p.Allochthonous.SNL-ZOOP-05A   0.080 0.069 0.004 0.007 0.027 0.059 0.116 0.219 0.257
p.Autochthonous.SNL-ZOOP-06A   0.689 0.172 0.403 0.438 0.554 0.663 0.829 0.979 0.990
p.Allochthonous.SNL-ZOOP-06A   0.311 0.172 0.010 0.021 0.171 0.337 0.446 0.562 0.597
p.Autochthonous.SNL-ZOOP-07A   0.781 0.136 0.532 0.561 0.676 0.777 0.902 0.983 0.990
p.Allochthonous.SNL-ZOOP-07A   0.219 0.136 0.010 0.017 0.098 0.223 0.324 0.439 0.468
p.Autochthonous.SNL-ZOOP-08A   0.752 0.138 0.500 0.536 0.644 0.744 0.863 0.978 0.989
p.Allochthonous.SNL-ZOOP-08A   0.248 0.138 0.011 0.022 0.137 0.256 0.356 0.464 0.500
p.Autochthonous.SNL-ZOOP-09A   0.731 0.136 0.496 0.529 0.628 0.718 0.833 0.971 0.987
p.Allochthonous.SNL-ZOOP-09A   0.269 0.136 0.013 0.029 0.167 0.282 0.372 0.471 0.504
p.Autochthonous.SNL-ZOOP-10A   0.930 0.056 0.788 0.816 0.902 0.944 0.974 0.993 0.995
p.Allochthonous.SNL-ZOOP-10A   0.070 0.056 0.005 0.007 0.026 0.056 0.098 0.184 0.212
p.Autochthonous.SNL-ZOOP-11A   0.785 0.124 0.541 0.581 0.695 0.782 0.884 0.980 0.989
p.Allochthonous.SNL-ZOOP-11A   0.215 0.124 0.011 0.020 0.116 0.218 0.305 0.419 0.459
p.Autochthonous.SNL-ZOOP-13A   0.718 0.146 0.462 0.501 0.612 0.699 0.827 0.972 0.985
p.Allochthonous.SNL-ZOOP-13A   0.282 0.146 0.015 0.028 0.173 0.301 0.388 0.499 0.538
p.Autochthonous.SNL-ZOOP-14A   0.887 0.086 0.694 0.718 0.833 0.906 0.959 0.990 0.993
p.Allochthonous.SNL-ZOOP-14A   0.113 0.086 0.007 0.010 0.041 0.094 0.167 0.282 0.306
p.Autochthonous.SNL-ZOOP-15A   0.701 0.143 0.456 0.492 0.596 0.684 0.798 0.967 0.987
p.Allochthonous.SNL-ZOOP-15A   0.299 0.143 0.013 0.033 0.202 0.316 0.404 0.508 0.544
p.Autochthonous.SNL-ZOOP-16A   0.901 0.077 0.718 0.750 0.857 0.918 0.964 0.992 0.995
p.Allochthonous.SNL-ZOOP-16A   0.099 0.077 0.005 0.008 0.036 0.082 0.143 0.250 0.282
p.Autochthonous.SNL-ZOOP-17A   0.763 0.134 0.519 0.550 0.659 0.755 0.874 0.978 0.987
p.Allochthonous.SNL-ZOOP-17A   0.237 0.134 0.013 0.022 0.126 0.245 0.341 0.450 0.481
p.Autochthonous.SNL-ZOOP-18A   0.706 0.138 0.473 0.506 0.603 0.689 0.800 0.963 0.982
p.Allochthonous.SNL-ZOOP-18A   0.294 0.138 0.018 0.037 0.200 0.311 0.397 0.494 0.527
p.Autochthonous.SNL-ZOOP-19A   0.801 0.121 0.564 0.596 0.713 0.804 0.901 0.981 0.988
p.Allochthonous.SNL-ZOOP-19A   0.199 0.121 0.012 0.019 0.099 0.196 0.287 0.404 0.436
p.Autochthonous.SNL-ZOOP-20A   0.824 0.113 0.593 0.628 0.741 0.836 0.920 0.983 0.990
p.Allochthonous.SNL-ZOOP-20A   0.176 0.113 0.010 0.017 0.080 0.164 0.259 0.372 0.407
p.Autochthonous.SNL-ZOOP-GFF47 0.944 0.048 0.816 0.847 0.921 0.958 0.980 0.994 0.996
p.Allochthonous.SNL-ZOOP-GFF47 0.056 0.048 0.004 0.006 0.020 0.042 0.079 0.153 0.184
p.Autochthonous.SNL-ZOOP-GFF48 0.934 0.053 0.796 0.828 0.906 0.947 0.974 0.992 0.995
p.Allochthonous.SNL-ZOOP-GFF48 0.066 0.053 0.005 0.008 0.026 0.053 0.094 0.172 0.204
p.Autochthonous.SNL-ZOOP-GFF49 0.938 0.053 0.805 0.831 0.913 0.954 0.979 0.994 0.996
p.Allochthonous.SNL-ZOOP-GFF49 0.062 0.053 0.004 0.006 0.021 0.046 0.087 0.169 0.195
p.Autochthonous.SNL-ZOOP-GFF53 0.939 0.052 0.808 0.838 0.914 0.954 0.978 0.994 0.996
p.Allochthonous.SNL-ZOOP-GFF53 0.061 0.052 0.004 0.006 0.022 0.046 0.086 0.162 0.192
p.Autochthonous.SNL-ZOOP-GFF65 0.944 0.048 0.822 0.847 0.922 0.959 0.980 0.994 0.996
p.Allochthonous.SNL-ZOOP-GFF65 0.056 0.048 0.004 0.006 0.020 0.041 0.078 0.153 0.178
p.Autochthonous.SNL-ZOOP-GFF66 0.919 0.065 0.760 0.792 0.883 0.936 0.971 0.992 0.995
p.Allochthonous.SNL-ZOOP-GFF66 0.081 0.065 0.005 0.008 0.029 0.064 0.117 0.208 0.240
p.Autochthonous.SNL-ZOOP-GFF67 0.912 0.069 0.741 0.775 0.873 0.928 0.966 0.990 0.993
p.Allochthonous.SNL-ZOOP-GFF67 0.088 0.069 0.007 0.010 0.034 0.072 0.127 0.225 0.259
p.Autochthonous.SNL-ZOOP-GFF69 0.955 0.040 0.850 0.873 0.938 0.967 0.984 0.995 0.997
p.Allochthonous.SNL-ZOOP-GFF69 0.045 0.040 0.003 0.005 0.016 0.033 0.062 0.127 0.150
p.Autochthonous.SNL-ZOOP-GFF70 0.923 0.065 0.761 0.794 0.888 0.942 0.974 0.993 0.995
p.Allochthonous.SNL-ZOOP-GFF70 0.077 0.065 0.005 0.007 0.026 0.058 0.112 0.206 0.239

#################################################################
# Summary Statistics
#################################################################

                                Mean    SD  2.5%    5%   25%   50%   75%   95% 97.5%
p.Autochthonous.SNL-ZOOP-01A   0.908 0.034 0.837 0.849 0.886 0.911 0.932 0.960 0.969
p.Allochthonous.SNL-ZOOP-01A   0.092 0.034 0.031 0.040 0.068 0.089 0.114 0.151 0.163
p.Autochthonous.SNL-ZOOP-02A   0.947 0.045 0.826 0.854 0.927 0.960 0.981 0.994 0.996
p.Allochthonous.SNL-ZOOP-02A   0.053 0.045 0.004 0.006 0.019 0.040 0.073 0.146 0.174
p.Autochthonous.SNL-ZOOP-03A   0.929 0.059 0.777 0.809 0.897 0.947 0.976 0.993 0.996
p.Allochthonous.SNL-ZOOP-03A   0.071 0.059 0.004 0.007 0.024 0.053 0.103 0.191 0.223
p.Autochthonous.SNL-ZOOP-04A   0.938 0.055 0.791 0.825 0.913 0.954 0.979 0.994 0.996
p.Allochthonous.SNL-ZOOP-04A   0.062 0.055 0.004 0.006 0.021 0.046 0.087 0.175 0.209
p.Autochthonous.SNL-ZOOP-05A   0.920 0.069 0.743 0.781 0.884 0.941 0.973 0.993 0.996
